dish_name,cross_contam,egg,fish,milk,peanut,shellfish,soy,treenuts,gluten,veg/vgn,dish_type
Tortillas - All-Natural Corn,,,,,,,,,,VG,entree
Spicy Shrimp Tacos (2) w/o Chips & Salsa,,1,,1,,1,1,,1,,entree
Side - Fries,1,,,,,,,,,VG,sides
Side - Tostada Chips & Salsa,1,,,,,,,,,VG,sides
Boneless Buffalo Chicken Salad,1,1,1,1,,,,,1,,entree
Boneless Buffalo Chicken Salad w/o Dressing,1,,1,1,,,,,1,,entree
Caribbean Salad,,1,,,,,,,,VT,entree
Caribbean Salad w/o Dressing,,,,,,,,,,VG,entree
Caribbean Salad w/ Grilled Chicken,,1,,,,,,,,,entree
Caribbean Salad w/ Grilled Chicken w/o Dressing,,,,,,,,,,,entree
Caribbean Salad w/ Shrimp,,1,,,,1,1,,,,entree
Caribbean Salad w/ Shrimp w/o Dressing,,,,,,1,1,,,,entree
Grilled Chicken Salad,,,,1,,,1,,,,entree
Grilled Chicken Salad w/o Cheese,,,,,,,1,,,,entree
Quesadilla Explosion Salad,1,,,1,,,1,,1,,entree
Quesadilla Explosion Salad w/o  Chicken,1,,,1,,,1,,1,VT,entree
Side - Caesar Salad,,1,1,1,,,1,,1,,entree
Side - Caesar Salad w/o Croutons,,1,1,1,,,,,,,entree
Side - House Salad w/o Dressing,,,,1,,,1,,1,VT,entree
Side - House Salad w/o Dressing w/o Croutons,,,,1,,,,,,VT,entree
Side - House Salad w/o Dressing w/o Croutons w/o Cheese,,,,,,,,,,VG,entree
Santa Fe Chicken Salad w/ Crispers,1,1,,1,,,,,1,,entree
Santa Fe Chicken Salad w/ Spicy Grilled Chicken,1,1,,1,,,1,,,,entree
Santa Fe Chicken Salad w/ Spicy Grilled  Chicken w/o Ranch,1,1,,,,,1,,,,entree
Southwest Caesar Salad w/ Chicken,1,1,1,1,,,,,,,entree
Southwest Caesar Salad w/ Shrimp,1,1,1,1,,1,1,,,,entree
Ancho Chile Ranch,,1,,1,,,,,,VT,salad_dressing
Avocado Ranch,,1,,1,,,,,,VT,salad_dressing
Bleu Cheese,,1,,1,,,,,,,salad_dressing
Caesar,,1,1,1,,,,,,,salad_dressing
Citrus Balsamic Vinaigrette,,,,,,,,,,VG,salad_dressing
Honey Lime,,1,,,,,,,,VT,salad_dressing
Honey Lime Vinaigrette,,,,,,,,,,VT,salad_dressing
Honey-Mustard,,1,,,,,,,,VT,salad_dressing
Ranch,,1,,1,,,,,,VT,salad_dressing
Santa Fe,,1,,,,,,,,VT,salad_dressing
Thousand Island,,1,,,,,,,,VT,salad_dressing
Bacon Avocado Grilled Chicken Sandwich,,1,,1,,,1,,1,,entrée
Buffalo Chicken Ranch Sandwich,1,1,1,1,,,1,,1,,entrée
California Turkey Club,,1,,1,,,1,,1,,entrée
Chicky Chicky Bleu Sandwich,1,1,,1,,,1,,1,,entrée
Chicken Enchilada,1,,,1,,,1,,1,,soup
Loaded Baked Potato,,,,1,,,1,,,,soup
Southwestern Chicken,1,,,1,,,1,,,,soup
The Original Chili,1,,,1,,,,,,,soup
